nitrogenio,fosforo,potassio,umidade,ph,plantio
10,79,18,55.46985938,5.624731338,PigeonPeas
30,75,25,42.35249879,6.446091759,PigeonPeas
40,70,20,45.03186173,5.623490043,PigeonPeas
38,55,19,38.23184742,5.864623352,PigeonPeas
35,58,20,63.47742011,5.761702519,PigeonPeas
38,61,21,67.38680755,4.696518678,PigeonPeas
33,58,24,68.75810535,5.269504214,PigeonPeas
16,56,17,40.03262418,7.445444883,PigeonPeas
31,72,17,49.47225353,5.833031708,PigeonPeas
16,80,20,56.67369054,7.339320929,PigeonPeas
27,72,17,57.23265151,6.347929353,PigeonPeas
40,62,19,34.13737127,4.697750704,PigeonPeas
18,58,16,38.80023714,4.962661422,PigeonPeas
3,68,16,34.69776639,4.964887857,PigeonPeas
26,67,24,37.73992903,5.642813116,PigeonPeas
16,70,20,40.1242747,5.6093956,PigeonPeas
24,63,19,55.96805489,4.681576043,PigeonPeas
9,76,25,50.12323801,5.70951224,PigeonPeas
16,55,19,47.19188279,6.413543781,PigeonPeas
28,75,21,50.54621094,6.007508163,PigeonPeas
16,71,24,38.40975482,4.946369874,PigeonPeas
24,70,21,45.3733757,5.517208078,PigeonPeas
38,72,21,49.4421345,5.902103172,PigeonPeas
9,66,21,34.13307843,5.719889876,PigeonPeas
34,56,17,35.42910045,4.548202098,PigeonPeas
1,76,19,46.68746847,6.669529416,PigeonPeas
6,69,19,41.69617915,4.750929218,PigeonPeas
26,73,21,57.97429171,4.946263888,PigeonPeas
27,61,18,67.07780816,5.266227032,PigeonPeas
27,71,23,46.48714759,7.10959773,PigeonPeas
36,61,21,39.04468913,5.617008201,PigeonPeas
17,73,18,34.51086611,5.632353113,PigeonPeas
26,72,22,37.57792132,4.674941549,PigeonPeas
17,64,16,32.24914235,7.161797643,PigeonPeas
14,74,19,36.82639309,6.624966131,PigeonPeas
39,60,15,30.98685456,5.004074624,PigeonPeas
6,66,15,30.40046769,6.345806011,PigeonPeas
8,59,18,35.72032498,6.216814453,PigeonPeas
2,67,18,47.52980027,5.921666758,PigeonPeas
1,76,17,52.10010827,6.012719118,PigeonPeas
16,73,19,34.80541039,4.684079249,PigeonPeas
23,75,25,47.19847683,7.077170002,PigeonPeas
32,70,20,46.24856523,6.208843215,PigeonPeas
28,59,22,52.79913039,7.05181629,PigeonPeas
5,62,23,66.45457122,4.722222454,PigeonPeas
36,67,25,36.52780776,6.418062652,PigeonPeas
1,66,23,56.92831399,4.803564468,PigeonPeas
24,73,20,32.31528909,4.608695247,PigeonPeas
17,67,18,56.46868874,5.611510977,PigeonPeas
5,55,18,45.70976142,7.322097972,PigeonPeas
5,56,24,45.01110015,5.023115055,PigeonPeas
37,77,17,31.94550613,5.617122801,PigeonPeas
13,73,20,35.48885969,5.391560418,PigeonPeas
6,63,23,49.94704718,5.906596905,PigeonPeas
16,77,22,35.6395615,6.574209678,PigeonPeas
25,64,20,32.45974539,4.807776749,PigeonPeas
34,75,24,51.29019509,4.760038039,PigeonPeas
20,77,23,38.83786012,5.180271502,PigeonPeas
35,80,25,44.93322042,4.895927306,PigeonPeas
14,75,24,57.3414485,6.436160044,PigeonPeas
36,80,21,48.41490082,7.066087261,PigeonPeas
7,77,18,60.54880693,6.655918078,PigeonPeas
29,78,25,59.33157782,5.982854523,PigeonPeas
30,60,21,62.4901206,5.457871273,PigeonPeas
20,74,16,43.61444121,4.759490199,PigeonPeas
19,57,23,47.2879691,7.342409555,PigeonPeas
3,60,19,40.7192594,4.820788186,PigeonPeas
5,77,19,66.68832981,6.242052013,PigeonPeas
5,68,20,61.33186249,5.001038726,PigeonPeas
37,73,21,63.46513414,5.560224583,PigeonPeas
9,59,24,39.37252634,4.747352458,PigeonPeas
20,72,15,56.01334416,7.313517308,PigeonPeas
31,56,23,35.39454002,5.661826398,PigeonPeas
0,70,21,56.03021253,4.672437054,PigeonPeas
21,74,15,67.10604388,6.471862118,PigeonPeas
13,67,18,34.75591197,5.384762927,PigeonPeas
27,74,20,59.96669215,5.859813416,PigeonPeas
29,72,24,36.67847052,6.962386495,PigeonPeas
5,68,20,33.10695144,6.12166671,PigeonPeas
39,57,19,45.93248374,6.421748487,PigeonPeas
22,62,16,54.32342534,4.828936119,PigeonPeas
18,55,23,56.31006755,6.98571967,PigeonPeas
39,77,21,60.24218572,4.603563116,PigeonPeas
13,75,20,35.29006485,6.979540061,PigeonPeas
27,71,24,48.17631461,7.064973419,PigeonPeas
26,64,22,40.58227261,5.16516459,PigeonPeas
23,55,16,69.69141302,5.111488821,PigeonPeas
4,69,19,47.70351758,5.374358869,PigeonPeas
20,67,19,50.54495302,5.671419084,PigeonPeas
7,74,17,62.56532471,5.667419697,PigeonPeas
17,64,18,58.25799145,6.07938452,PigeonPeas
35,71,17,66.35375127,6.931924963,PigeonPeas
11,72,22,44.82294584,6.842744374,PigeonPeas
20,60,22,42.89833235,6.876572503,PigeonPeas
10,71,18,66.34777265,6.151029296,PigeonPeas
33,61,24,48.93905624,4.567446499,PigeonPeas
3,49,18,64.70930606,3.692863601,MothBeans
22,59,23,51.27868781,4.371745575,MothBeans
36,58,25,59.3189118,8.399135958,MothBeans
4,43,18,61.09387478,8.840656256,MothBeans
29,54,16,54.65030015,8.153022903,MothBeans
32,43,22,54.1077461,5.270749441,MothBeans
14,55,15,55.27755933,8.050304395,MothBeans
5,35,20,53.57014709,9.679240873,MothBeans
25,57,24,58.59986279,6.974978386,MothBeans
11,53,24,55.77264351,7.39389918,MothBeans
40,49,17,45.89239456,6.68727523,MothBeans
38,56,25,45.38497051,7.88118645,MothBeans
27,43,23,56.85420099,5.875333778,MothBeans
24,38,22,58.51663927,8.202706015,MothBeans
23,45,21,51.79939437,8.985348193,MothBeans
29,57,20,50.7330069,5.87707519,MothBeans
31,35,23,47.18283631,7.707595055,MothBeans
0,55,25,43.6672299,4.524171562,MothBeans
7,45,22,44.8302551,9.926212291,MothBeans
17,58,25,43.58788762,6.455592696,MothBeans
11,44,17,55.59160391,8.016210782,MothBeans
22,49,22,61.5620517,3.71105919,MothBeans
9,51,19,49.32609633,5.49091063,MothBeans
28,48,15,55.25435777,9.254089438,MothBeans
26,50,19,51.66921088,6.005242945,MothBeans
36,56,20,49.66474269,7.437078236,MothBeans
8,60,18,46.01868196,3.808429173,MothBeans
24,37,21,58.22686794,5.818219385,MothBeans
22,43,24,53.2208266,4.52363558,MothBeans
36,43,24,43.65305437,3.510404312,MothBeans
22,44,24,56.32938343,6.030447288,MothBeans
17,43,22,45.90067655,5.498340808,MothBeans
8,45,15,60.9835384,4.61136408,MothBeans
7,56,23,40.00933429,5.545219232,MothBeans
36,57,16,57.14218792,8.292875734,MothBeans
11,45,19,44.359648,3.828031463,MothBeans
6,36,22,59.79236306,8.869532817,MothBeans
17,57,20,45.20094476,3.793575185,MothBeans
4,47,20,64.95585424,4.193189124,MothBeans
9,49,16,41.36561835,7.661537348,MothBeans
25,51,24,61.66852372,9.392694614,MothBeans
36,44,21,51.33189406,4.516154055,MothBeans
21,38,20,63.56791363,5.794289715,MothBeans
37,57,20,44.82069159,7.354286985,MothBeans
32,48,18,56.40226277,5.993513566,MothBeans
29,44,20,63.56222995,8.620107545,MothBeans
25,51,18,54.82130787,9.45949344,MothBeans
10,44,24,43.02151392,8.0344125,MothBeans
23,35,18,47.36534833,5.414492777,MothBeans
9,60,23,57.17377029,6.276004336,MothBeans
3,58,21,46.82652785,9.160691747,MothBeans
22,42,22,56.96640758,7.887658711,MothBeans
12,39,21,62.85948245,8.183844843,MothBeans
39,36,22,60.50320928,9.072011412,MothBeans
32,41,16,61.39451307,7.702287236,MothBeans
30,41,15,44.17085032,5.88509677,MothBeans
19,36,22,58.55363573,6.16496284,MothBeans
4,46,15,62.40392519,3.504752314,MothBeans
21,39,20,52.3003173,7.388007483,MothBeans
35,57,25,42.26206161,8.340398059,MothBeans
22,55,24,57.30636014,8.66077954,MothBeans
35,51,17,49.84213387,3.558822825,MothBeans
17,56,17,45.41393636,5.9565851,MothBeans
28,57,17,61.58245338,9.416003106,MothBeans
22,36,16,50.77148138,8.18422855,MothBeans
11,41,19,41.81420849,5.131779302,MothBeans
38,38,18,61.18749126,6.294130313,MothBeans
23,37,24,44.2252605,7.991902443,MothBeans
25,35,20,43.35365671,8.923095695,MothBeans
40,45,20,57.69622912,6.878498176,MothBeans
23,58,19,58.25204566,5.243634849,MothBeans
2,56,23,59.79023382,7.550090941,MothBeans
3,56,17,53.50567601,8.709291688,MothBeans
26,51,25,52.62741529,7.792508068,MothBeans
39,42,20,61.25353851,8.055908858,MothBeans
27,59,20,52.60950014,4.397698806,MothBeans
24,45,19,48.8246387,5.952384957,MothBeans
7,40,17,40.92604945,8.532078733,MothBeans
15,45,23,61.43378674,7.224193642,MothBeans
26,52,23,49.60384796,4.931890506,MothBeans
20,45,16,54.61813464,4.626212446,MothBeans
